Entry ID,Source Organism,Accession Code(s)
,Oryctolagus cuniculus,
,Oryctolagus cuniculus,G1SHQ2
,Oryctolagus cuniculus,G1TSG1
,Oryctolagus cuniculus,G1T6D1
,Oryctolagus cuniculus,G1SE28
,Oryctolagus cuniculus,G1SE76
,Oryctolagus cuniculus,G1SQH0
,Oryctolagus cuniculus,G1TXF6
,Oryctolagus cuniculus,4CXE_4
,Oryctolagus cuniculus,G1SNY0
,Oryctolagus cuniculus,G1TN82
,Oryctolagus cuniculus,
,Oryctolagus cuniculus,G1SHG0
,Oryctolagus cuniculus,G1TUN8
,Oryctolagus cuniculus,G1SF08
,Oryctolagus cuniculus,G1U945
,Oryctolagus cuniculus,G1SIT5
,Oryctolagus cuniculus,
,Oryctolagus cuniculus,U3KPD5
,Oryctolagus cuniculus,4CXE_3
,Oryctolagus cuniculus,
,Oryctolagus cuniculus,G1SYU7
,Oryctolagus cuniculus,P63048
,Oryctolagus cuniculus,A0A087WNH4
,Oryctolagus cuniculus,A0A5F9D391
,Oryctolagus cuniculus,G1SY53
,Homo sapiens,P09132
,Oryctolagus cuniculus,G1U7L1
,Homo sapiens,
,Homo sapiens,P37108
,Oryctolagus cuniculus,
,Homo sapiens,Q9UHB9
,Homo sapiens,Q9Y5M8
,Homo sapiens,P49458
,Homo sapiens,P61011
,Homo sapiens,P08240
,Homo sapiens,O76094
,Oryctolagus cuniculus,G1TL06
,Oryctolagus cuniculus,G1SVW5
,Oryctolagus cuniculus,G1SYJ6
,Oryctolagus cuniculus,G1SKF7
7NHT,Homo sapiens,P25787
,Homo sapiens,P49721
,Homo sapiens,P28074
,Homo sapiens,P20618
,Homo sapiens,P28070
,Homo sapiens,P28072
,Homo sapiens,Q53H80
,Homo sapiens,P25789
,Homo sapiens,O14818
,Homo sapiens,P28066
,Homo sapiens,P25786
,Homo sapiens,P25788
,Homo sapiens,P60900
,Homo sapiens,Q99436
,Homo sapiens,P49720
7NIU,Homo sapiens,P21439
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,
7NIV,Homo sapiens,
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P21439
7NIW,Homo sapiens,P21439
,Homo sapiens,
,Homo sapiens,
7NJ0,Homo sapiens,P14635
,Homo sapiens,"O95997, Q14674"
,Homo sapiens,P06493
,Homo sapiens,P61024
7NJZ,Mus musculus,
,Mus musculus,
,Homo sapiens,P51681
7NL0,Homo sapiens,P68431
,Homo sapiens,P62805
,Homo sapiens,P04908
,Homo sapiens,P06899
,Homo sapiens,
,Homo sapiens,
7NMD,Homo sapiens,A0A5H2UYS3
,Homo sapiens,P61769
,Homo sapiens,
7NME,Homo sapiens,A0A5H2UYS3
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,
7NMF,Homo sapiens,A0A5H2UYS3
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,
7NMG,Homo sapiens,A0A5H2UYS3
,Homo sapiens,P61769
,Homo sapiens,P01308
,Homo sapiens,
,Homo sapiens,
7NOZ,Homo sapiens,P01024
,Homo sapiens,P01024
,Homo sapiens,P27918
,Homo sapiens,P27918
,Homo sapiens,P00751
,Lama glama,
7NP1,Severe acute respiratory syndrome coronavirus 2,P0DTC2
,Homo sapiens,
,Homo sapiens,
7NQH,Sus scrofa,F1RT79
,Sus scrofa,A0A286ZTW8
,Sus scrofa,F1SGC7
,Sus scrofa,76262549
,Sus scrofa,F1RRN2
,Sus scrofa,A0A140UHW4
,Sus scrofa,I3LR45
,Sus scrofa,F1RWJ0
,Homo sapiens,Q9UGC7
,Sus scrofa,K7GP19
,Sus scrofa,A0A287BMZ6
,Sus scrofa,F1RSH0
,Sus scrofa,F1RI89
,Sus scrofa,A0A286ZU56
,Sus scrofa,F1RY70
,Sus scrofa,F1RQC9
,Sus scrofa,A0A287BIV6
,Sus scrofa,F1RW03
,Sus scrofa,A0A286ZP98
,Sus scrofa,A0A287AWS0
,Sus scrofa,F1S8U4
,Sus scrofa,F1SR64
,Sus scrofa,I3LGM5
,Sus scrofa,F1SRT0
,Sus scrofa,A0A0R4J8D6
,Sus scrofa,I3L9H6
,Sus scrofa,A0A287BE26
,Sus scrofa,F1S9B7
,Sus scrofa,A0A341D604
,Sus scrofa,I3LN63
,Sus scrofa,A0A287BP93
,Sus scrofa,A0A286ZJR2
,Sus scrofa,F1RRH6
,Sus scrofa,I3L9J0
,Sus scrofa,I3LTC4
,Sus scrofa,A0A286ZU68
,Sus scrofa,A0A287A119
,Sus scrofa,I3LEJ9
,Sus scrofa,A0A286ZJ25
,Sus scrofa,I3LU08
,Sus scrofa,F1RUU2
,Sus scrofa,A0A0M3KL52
,Sus scrofa,A0A0M3KL53
,Sus scrofa,A0A287BMP0
,Sus scrofa,A0A480JTD7
,Sus scrofa,A0A286ZNB3
,Homo sapiens,
,Sus scrofa,
,Sus scrofa,A0A287AQT5
,Sus scrofa,A0A287AEW3
,Sus scrofa,A0A287AY01
,Sus scrofa,A0A5G2R5D6
,Sus scrofa,I3LS10
,Sus scrofa,F1RME2
,Sus scrofa,F1S8G3
,Sus scrofa,A0A287AVS9
,Sus scrofa,F1SU49
,Sus scrofa,A0A287B3R8
,Sus scrofa,Q767K8
,Sus scrofa,A0A287A731
,Sus scrofa,33320725
,Sus scrofa,A0A287ARV8
,Sus scrofa,F1RU54
,Sus scrofa,F1RMQ4
,Sus scrofa,A0A286ZNK1
,Sus scrofa,I3LNJ0
,Sus scrofa,A0A286ZZC6
,Sus scrofa,F1RHJ1
,Sus scrofa,F1STE5
,Sus scrofa,F1SHP6
,Sus scrofa,A0A287BQA1
,Sus scrofa,A0A480J9Z6
,Sus scrofa,A0A286ZXA6
,Sus scrofa,A0A480QIM3
,Sus scrofa,11055671
,Sus scrofa,F1S001
,Sus scrofa,A0A287ANU4
,Sus scrofa,F1SU66
,Sus scrofa,A0A286ZJJ6
,Sus scrofa,F1RIU0
,Sus scrofa,A0A0M3KL54
,Homo sapiens,1208989970
,Sus scrofa,A0A0M3KL55
,Sus scrofa,F1SVC5
,Sus scrofa,A0A0M3KL56
,Sus scrofa,A0A287B9C4
,Sus scrofa,F1SG95
,Sus scrofa,K7GKS8
7NQL,Sus scrofa,A0A287A119
,Sus scrofa,F1SVC5
,Sus scrofa,A0A287A731
,Sus scrofa,33320725
,Sus scrofa,F1RRN2
,Sus scrofa,A0A140UHW4
,Sus scrofa,A0A287B9C4
,Sus scrofa,F1RWJ0
,Sus scrofa,F1RU54
,Homo sapiens,Q14197
,Sus scrofa,A0A287BMZ6
,Sus scrofa,F1RI89
,Sus scrofa,I3LNJ0
,Sus scrofa,A0A286ZU56
,Sus scrofa,F1RY70
,Sus scrofa,F1RQC9
,Sus scrofa,A0A286ZZC6
,Sus scrofa,F1RHJ1
,Sus scrofa,A0A287BIV6
,Sus scrofa,F1SHP6
,Sus scrofa,A0A287BQA1
,Sus scrofa,F1SR64
,Sus scrofa,F1SRT0
,Sus scrofa,A0A480J9Z6
,Sus scrofa,A0A0R4J8D6
,Sus scrofa,I3L9H6
,Sus scrofa,A0A287BE26
,Sus scrofa,A0A341D604
,Sus scrofa,I3LN63
,Sus scrofa,A0A287BP93
,Sus scrofa,A0A286ZJR2
,Sus scrofa,A0A286ZXA6
,Sus scrofa,A0A480QIM3
,Sus scrofa,F1RRH6
,Sus scrofa,A0A287ARV8
,Sus scrofa,A0A287ANU4
,Sus scrofa,I3LEJ9
,Sus scrofa,I3LU08
,Sus scrofa,A0A0M3KL52
,Sus scrofa,A0A287BMP0
,Sus scrofa,A0A480JTD7
,Sus scrofa,F1RIU0
,Homo sapiens,
,Sus scrofa,A0A287AEW3
,Sus scrofa,A0A287AY01
,Sus scrofa,A0A0M3KL56
,Sus scrofa,I3LS10
,Sus scrofa,F1RME2
,Sus scrofa,F1S8G3
,Sus scrofa,A0A287AVS9
,Sus scrofa,A0A287B3R8
,Sus scrofa,K7GKS8
,Sus scrofa,F1RT79
,Sus scrofa,A0A286ZTW8
,Sus scrofa,F1SGC7
,Sus scrofa,F1STE5
,Sus scrofa,I3L9J0
,Sus scrofa,I3LTC4
,Sus scrofa,A0A286ZU68
,Sus scrofa,K7GP19
,Sus scrofa,F1RSH0
,Sus scrofa,F1RMQ4
,Sus scrofa,A0A286ZNK1
,Sus scrofa,F1RW03
,Sus scrofa,A0A286ZP98
,Sus scrofa,A0A287AWS0
,Sus scrofa,F1S8U4
,Sus scrofa,I3LGM5
,Sus scrofa,F1S9B7
,Sus scrofa,11055671
,Sus scrofa,F1S001
,Sus scrofa,76262549
,Sus scrofa,F1SU66
,Sus scrofa,A0A286ZJ25
,Sus scrofa,F1RUU2
,Sus scrofa,A0A286ZJJ6
,Sus scrofa,A0A0M3KL53
,Sus scrofa,A0A0M3KL54
,Sus scrofa,A0A286ZNB3
,Homo sapiens,1208989970
,unidentified,
,Sus scrofa,A0A287AQT5
,Sus scrofa,A0A0M3KL55
,Sus scrofa,A0A5G2R5D6
,Sus scrofa,F1SG95
,Sus scrofa,F1SU49
,Sus scrofa,Q767K8
,Sus scrofa,I3LR45
7NSC,Homo sapiens,Q96S59
,Homo sapiens,Q8IUR7
,Homo sapiens,Q9NWU2
,Homo sapiens,Q8IVV7
7NSH,Sus scrofa,F1RT79
,Sus scrofa,F1RHJ1
,Sus scrofa,F1RW03
,Sus scrofa,A0A287BQA1
,Sus scrofa,F1SRT0
,Sus scrofa,A0A0R4J8D6
,Sus scrofa,F1S9B7
,Sus scrofa,A0A286ZJR2
,Sus scrofa,A0A286ZXA6
,Sus scrofa,A0A287ARV8
,Sus scrofa,A0A286ZU68
,Homo sapiens,Q969S9
,Sus scrofa,F1RRN2
,Sus scrofa,A0A140UHW4
,Sus scrofa,A0A287B9C4
,Sus scrofa,I3LNJ0
,Sus scrofa,F1RY70
,Sus scrofa,F1RQC9
,Sus scrofa,F1S8U4
,Sus scrofa,F1SR64
,Sus scrofa,I3LGM5
,Sus scrofa,A0A480J9Z6
,Sus scrofa,I3L9H6
,Sus scrofa,A0A287BE26
,Sus scrofa,A0A341D604
,Sus scrofa,I3LN63
,Sus scrofa,A0A287BP93
,Sus scrofa,A0A480QIM3
,Sus scrofa,F1RRH6
,Sus scrofa,A0A286ZTW8
,Sus scrofa,A0A287A731
,Sus scrofa,33320725
,Sus scrofa,A0A287BIV6
,Sus scrofa,F1SGC7
,Sus scrofa,F1STE5
,Sus scrofa,I3L9J0
,Sus scrofa,I3LTC4
,Sus scrofa,A0A287A119
,Sus scrofa,76262549
,Homo sapiens,Q96E11
,Sus scrofa,F1SVC5
,Sus scrofa,F1RI89
,Sus scrofa,I3LR45
,Sus scrofa,F1RWJ0
,Sus scrofa,F1RU54
,Sus scrofa,K7GP19
,Sus scrofa,A0A287BMZ6
,Sus scrofa,F1RSH0
,Sus scrofa,F1RMQ4
,Sus scrofa,A0A286ZNK1
,Sus scrofa,A0A286ZU56
,Sus scrofa,A0A286ZZC6
,Sus scrofa,F1SHP6
,Sus scrofa,A0A5G2R2V2
,Sus scrofa,A0A287AWS0
7NSI,Sus scrofa,F1RT79
,Sus scrofa,A0A286ZTW8
,Sus scrofa,F1SGC7
,Sus scrofa,F1STE5
,Sus scrofa,I3LTC4
,Sus scrofa,A0A286ZU68
,Sus scrofa,A0A287A119
,Sus scrofa,A0A287A143
,Sus scrofa,A0A140UHW4
,Sus scrofa,A0A287B2W3
,Homo sapiens,Q96E11
,Sus scrofa,A0A480VPY3
,Sus scrofa,A0A480KRD0
,Sus scrofa,A0A4X1V5Y7
,Sus scrofa,A0A5G2RG26
,Sus scrofa,A0A480MAF3
,Sus scrofa,F1RMQ4
,Sus scrofa,I3LNJ0
,Sus scrofa,F1RY70
,Sus scrofa,F1RHJ1
,Sus scrofa,A0A4X1UDR3
,Sus scrofa,A0A287AWS0
,Sus scrofa,A0A287BQA1
,Sus scrofa,F1S8U4
,Sus scrofa,I3LGM5
,Sus scrofa,F1SRT0
,Sus scrofa,A0A480J9Z6
,Sus scrofa,I3L9H6
,Sus scrofa,A0A287BE26
,Sus scrofa,F1S9B7
,Sus scrofa,
,Sus scrofa,A0A480PHA9
,Sus scrofa,A0A286ZJR2
,Sus scrofa,A0A480QIM3
,Sus scrofa,A0A5G2R1G5
,Sus scrofa,11055671
,Sus scrofa,
,Sus scrofa,
,Sus scrofa,A0A287ANU4
,Sus scrofa,F1SU66
,Sus scrofa,F1RUU2
,Sus scrofa,A0A0M3KL52
,Sus scrofa,A0A0M3KL53
,Sus scrofa,A0A4X1VVY1
,Sus scrofa,A0A480JTD7
,Sus scrofa,A0A0M3KL54
,Sus scrofa,A0A286ZNB3
,Sus scrofa,A0A287AQT5
,Sus scrofa,A0A0M3KL55
,Sus scrofa,F1S8A5
,Sus scrofa,A0A5G2R5D6
,Sus scrofa,A0A0M3KL56
,Sus scrofa,A0A4X1SQW0
,Sus scrofa,F1S8G3
,Sus scrofa,A0A287AVS9
,Sus scrofa,A0A287B3R8
,Sus scrofa,Q767K8
,Sus scrofa,A0A287ARV8
,Sus scrofa,I3LR45
,Sus scrofa,K7GP19
,Sus scrofa,A0A0R4J8D5
,Sus scrofa,A0A286ZU56
,Sus scrofa,F1RQC9
,Sus scrofa,A0A480JJI1
,Sus scrofa,A0A287BIV6
,Sus scrofa,F1RW03
,Sus scrofa,A0A5G2R2V2
,Sus scrofa,F1SVC5
,Sus scrofa,F1SR64
,Sus scrofa,A0A4X1V1G7
,Sus scrofa,A0A287BP93
,Sus scrofa,A0A286ZXA6
,Sus scrofa,I3L9J0
,Sus scrofa,A0A4X1THS9
,Sus scrofa,33320725
,Sus scrofa,F1S001
,Sus scrofa,I3LEJ9
,Sus scrofa,A0A286ZJ25
,Sus scrofa,I3LU08
,Sus scrofa,A0A286ZJJ6
,Sus scrofa,F1RIU0
,Sus scrofa,
,Sus scrofa,A0A5G2RMZ2
,Sus scrofa,I3LS10
,Sus scrofa,45826169
,Sus scrofa,F1SG95
,Sus scrofa,F1SU49
,Sus scrofa,F1SVC4
7NTC,Severe acute respiratory syndrome coronavirus 2,P0DTC2
,Homo sapiens,
,Homo sapiens,
7NUI,Homo sapiens,
,Homo sapiens,P61769
,Influenza A virus,Q9Q0U8
7NVL,Homo sapiens,P17987
,Homo sapiens,P78371
,Homo sapiens,P50991
,Homo sapiens,P48643
,Homo sapiens,P49368
,Homo sapiens,Q99832
,Lama glama,
,Homo sapiens,P50990
,Homo sapiens,P40227
7NVM,Homo sapiens,P17987
,Homo sapiens,P63261
,Homo sapiens,Q9H2J4
,Homo sapiens,P78371
,Homo sapiens,P50991
,Homo sapiens,P48643
,Homo sapiens,P49368
,Homo sapiens,Q99832
,Lama glama,
,Homo sapiens,P50990
,Homo sapiens,P40227
7NVN,Homo sapiens,P17987
,Homo sapiens,Q13885
,Homo sapiens,P78371
,Homo sapiens,P50991
,Homo sapiens,P48643
,Homo sapiens,P49368
,Homo sapiens,Q99832
,Lama glama,
,Homo sapiens,P50990
,Homo sapiens,P40227
7NVO,Homo sapiens,P48643
,Homo sapiens,Q99832
,Homo sapiens,P50990
,Homo sapiens,P40227
,Homo sapiens,P49368
,Homo sapiens,P17987
,Homo sapiens,P50991
,Homo sapiens,P78371
,Lama glama,
7NVR,Homo sapiens,P18074
,Homo sapiens,P32780
,Homo sapiens,Q92759
,Homo sapiens,P51948
,Homo sapiens,Q13889
,Homo sapiens,Q6ZYL4
,Homo sapiens,P19447
,Homo sapiens,P50613
,Sus scrofa,A0A7M4DUC2
,Sus scrofa,I3LGP4
,Sus scrofa,I3LCH3
,Sus scrofa,A0A287ADR4
,Sus scrofa,A0A4X1VEK9
,Sus scrofa,I3LJZ9
,Sus scrofa,I3LCB2
,Sus scrofa,P60899
,Sus scrofa,A0A4X1VYD0
,Sus scrofa,F1RKE4
,Sus scrofa,A0A4X1TRS6
,Homo sapiens,Q00403
,Human mastadenovirus C,1706691521
,Homo sapiens,P35269
,Homo sapiens,P13984
,Human mastadenovirus C,1706691521
,Homo sapiens,P52655
,Homo sapiens,P52657
,Homo sapiens,P29083
,Homo sapiens,P29084
,Homo sapiens,
,Homo sapiens,Q96G25
,Homo sapiens,Q9P086
,Homo sapiens,Q9NVC6
,Homo sapiens,Q9BUE0
,Homo sapiens,Q9H944
,Homo sapiens,Q15528
,Homo sapiens,O43513
,Homo sapiens,Q9NWA0
,Homo sapiens,Q9BTT4
,Homo sapiens,O60244
,Homo sapiens,A0JLT2
,Homo sapiens,Q13503
,Homo sapiens,Q9Y3C7
,Homo sapiens,Q6P2C8
,Homo sapiens,Q9H204
,Homo sapiens,
,Homo sapiens,Q96HR3
,Homo sapiens,
,Homo sapiens,
,Trichoplusia ni,
,Trichoplusia ni,
,Homo sapiens,P51946
,Sus scrofa,I3LSI7
,Homo sapiens,P20226
,Homo sapiens,
,Homo sapiens,O75586
,Homo sapiens,Q9NPJ6
,Homo sapiens,
,Homo sapiens,Q13888
7NVS,Sus scrofa,I3LGP4
,Sus scrofa,A0A4X1VEK9
,Sus scrofa,A0A7M4DUC2
,Sus scrofa,A0A4X1VYD0
,Sus scrofa,F1RKE4
,Sus scrofa,A0A4X1TRS6
,Homo sapiens,Q00403
,unidentified adenovirus,
,Homo sapiens,P20226
,Homo sapiens,P35269
,Homo sapiens,P13984
,unidentified adenovirus,
,Homo sapiens,P52655
,Homo sapiens,P52657
,Homo sapiens,P29083
,Homo sapiens,P29084
,Sus scrofa,I3LCH3
,Sus scrofa,A0A287ADR4
,Sus scrofa,I3LSI7
,Sus scrofa,I3LJZ9
,Sus scrofa,I3LCB2
,Sus scrofa,P60899
7NVT,Sus scrofa,I3LJZ9
,Homo sapiens,P52657
,Sus scrofa,A0A7M4DUC2
,Sus scrofa,A0A4X1VYD0
,Sus scrofa,F1RKE4
,Sus scrofa,A0A4X1TRS6
,Homo sapiens,Q00403
,Human mastadenovirus C,1706691521
,Homo sapiens,P20226
,Homo sapiens,P35269
,Homo sapiens,P13984
,Human mastadenovirus C,1706691521
,Homo sapiens,P52655
,Sus scrofa,I3LGP4
,Homo sapiens,P29083
,Homo sapiens,P29084
,Sus scrofa,I3LCH3
,Sus scrofa,A0A287ADR4
,Sus scrofa,I3LSI7
,Sus scrofa,A0A4X1VEK9
,Sus scrofa,I3LCB2
,Sus scrofa,P60899
7NVU,Sus scrofa,A0A4X1VEK9
,Human mastadenovirus C,1706691521
,Sus scrofa,A0A7M4DUC2
,Sus scrofa,A0A4X1VYD0
,Sus scrofa,F1RKE4
,Sus scrofa,A0A4X1TRS6
,Homo sapiens,Q00403
,Human mastadenovirus C,1706691521
,Homo sapiens,P20226
,Homo sapiens,P35269
,Homo sapiens,P13984
,Homo sapiens,P52655
,Sus scrofa,I3LGP4
,Homo sapiens,P52657
,Homo sapiens,P29083
,Homo sapiens,P29084
,Sus scrofa,I3LCH3
,Sus scrofa,A0A287ADR4
,Sus scrofa,I3LSI7
,Sus scrofa,I3LJZ9
,Sus scrofa,I3LCB2
,Sus scrofa,P60899
7NVV,Homo sapiens,Q92759
,Homo sapiens,Q6ZYL4
,Homo sapiens,P19447
,Human mastadenovirus C,1706691521
,Homo sapiens,P29083
,Homo sapiens,
,Homo sapiens,
,Human mastadenovirus C,1706691521
7NVW,Homo sapiens,P18074
,Homo sapiens,P32780
,Homo sapiens,Q92759
,Homo sapiens,P51948
,Homo sapiens,Q13889
,Homo sapiens,Q6ZYL4
,Homo sapiens,Q13888
,Homo sapiens,P19447
,Human mastadenovirus C,1706691521
,Human mastadenovirus C,1706691521
,Homo sapiens,P29083
,Homo sapiens,
,Homo sapiens,
7NVX,Homo sapiens,P18074
,Homo sapiens,P32780
,Homo sapiens,Q92759
,Homo sapiens,P51948
,Homo sapiens,Q13889
,Homo sapiens,Q6ZYL4
,Homo sapiens,P19447
,Human mastadenovirus C,1706691521
,Human mastadenovirus C,1706691521
,Homo sapiens,P29083
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,Q13888
7NVY,Homo sapiens,P18074
,Homo sapiens,P32780
,Homo sapiens,Q92759
,Homo sapiens,P51948
,Homo sapiens,Q6ZYL4
,Homo sapiens,Q13888
,Homo sapiens,P19447
,Sus scrofa,A0A7M4DUC2
,Sus scrofa,I3LGP4
,Sus scrofa,I3LCH3
,Sus scrofa,A0A287ADR4
,Sus scrofa,A0A4X1VEK9
,Sus scrofa,I3LJZ9
,Sus scrofa,I3LCB2
,Sus scrofa,P60899
,Sus scrofa,F1RKE4
,Sus scrofa,A0A4X1TRS6
,Homo sapiens,Q00403
,Human mastadenovirus C,1706691521
,Homo sapiens,P35269
,Homo sapiens,P13984
,Human mastadenovirus C,1706691521
,Homo sapiens,P52655
,Homo sapiens,P52657
,Homo sapiens,P29083
,Homo sapiens,P29084
,Homo sapiens,
,Homo sapiens,
,Sus scrofa,I3LSI7
,Sus scrofa,A0A4X1VYD0
,Homo sapiens,P20226
,Homo sapiens,Q13889
7NVZ,Homo sapiens,P18074
,Homo sapiens,P32780
,Homo sapiens,Q6ZYL4
,Homo sapiens,Q13888
,Homo sapiens,P19447
,Sus scrofa,A0A7M4DUC2
,Sus scrofa,I3LGP4
,Sus scrofa,I3LCH3
,Sus scrofa,A0A287ADR4
,Sus scrofa,I3LSI7
,Sus scrofa,A0A4X1VEK9
,Sus scrofa,I3LJZ9
,Sus scrofa,I3LCB2
,Sus scrofa,P60899
,Sus scrofa,A0A4X1VYD0
,Sus scrofa,F1RKE4
,Sus scrofa,A0A4X1TRS6
,Homo sapiens,Q00403
,Human mastadenovirus C,1706691521
,Homo sapiens,P20226
,Homo sapiens,P35269
,Homo sapiens,P13984
,Human mastadenovirus C,1706691521
,Homo sapiens,P52655
,Homo sapiens,P29083
,Homo sapiens,P29084
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P52657
,Homo sapiens,Q92759
,Homo sapiens,P51948
,Homo sapiens,Q13889
7NW0,Homo sapiens,P32780
,Homo sapiens,Q92759
,Homo sapiens,P51948
,Homo sapiens,Q13889
,Homo sapiens,Q6ZYL4
,Homo sapiens,Q13888
,Homo sapiens,P19447
,Sus scrofa,A0A7M4DUC2
,Sus scrofa,I3LGP4
,Sus scrofa,I3LCH3
,Sus scrofa,I3LSI7
,Sus scrofa,A0A4X1VEK9
,Sus scrofa,I3LJZ9
,Sus scrofa,I3LCB2
,Sus scrofa,P60899
,Homo sapiens,Q00403
,Human mastadenovirus C,1706691521
,Homo sapiens,P20226
,Homo sapiens,P35269
,Homo sapiens,P13984
,Human mastadenovirus C,1706691521
,Homo sapiens,P52655
,Homo sapiens,P52657
,Homo sapiens,P29084
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P18074
,Sus scrofa,A0A287ADR4
,Sus scrofa,A0A4X1VYD0
,Sus scrofa,F1RKE4
,Sus scrofa,A0A4X1TRS6
,Homo sapiens,P29083
7NW3,Mus musculus,
,Mus musculus,
,Homo sapiens,P51681
7NWL,Homo sapiens,P05556
,Homo sapiens,P02751
,Mus musculus,
,Mus musculus,
,Homo sapiens,P08648
7NX0,Homo sapiens,P29376
,Homo sapiens,Q6UXT8
,Lama glama,
7NX3,Homo sapiens,Q9UM73
,Mus musculus,
,Mus musculus,
7NX6,Homo sapiens,
,Homo sapiens,
,Severe acute respiratory syndrome coronavirus 2,P0DTC2
,Homo sapiens,
,Homo sapiens,
7NX7,Homo sapiens,
,Homo sapiens,
,Severe acute respiratory syndrome coronavirus 2,P0DTC2
,Homo sapiens,
,Homo sapiens,
7NX8,Homo sapiens,
,Homo sapiens,
,Severe acute respiratory syndrome coronavirus 2,P0DTC2
,Homo sapiens,
,Homo sapiens,
7NX9,Homo sapiens,
,Homo sapiens,
,Severe acute respiratory syndrome coronavirus 2,P0DTC2
,Homo sapiens,
,Homo sapiens,
7NXA,Homo sapiens,
,Homo sapiens,
,Severe acute respiratory syndrome coronavirus 2,P0DTC2
,Homo sapiens,
,Homo sapiens,
7NXB,Homo sapiens,
,Homo sapiens,
,Severe acute respiratory syndrome coronavirus 2,P0DTC2
,Homo sapiens,
,Homo sapiens,
7NXV,Oryctolagus cuniculus,P68135
,Bos taurus,P00639
,Homo sapiens,O75807
7NYC,Homo sapiens,P10643
,Homo sapiens,P07358
,Homo sapiens,P07357
,Homo sapiens,P02748
,Homo sapiens,P13671
,Homo sapiens,P01031
,Homo sapiens,P07360
7NYD,Homo sapiens,P07358
,Homo sapiens,P07357
,Homo sapiens,P02748
,Homo sapiens,P10643
,Homo sapiens,P13671
,Homo sapiens,P07360
,Homo sapiens,P01031
7NZE,Homo sapiens,A2BFX2
,Homo sapiens,P01903
,Homo sapiens,P02458
7NZM,Homo sapiens,P05198
,Oryctolagus cuniculus,P62139
,Oryctolagus cuniculus,P68135
,Bos taurus,P00639
,"Homo sapiens, Escherichia coli K-12","O75807, P0AEX9"
7O00,Homo sapiens,P01903
,Homo sapiens,A0A1V1IGJ9
,Mycobacterium tuberculosis,P9WMJ9
7O52,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P20273
7O7F,Homo sapiens,P63096
,Bos taurus,P62871
,Homo sapiens,P51681
,Bos taurus,P02698
,Homo sapiens,P13501
,Mus musculus,
,Mus musculus,
7O9K,Homo sapiens,O75394
,Homo sapiens,Q9BQ48
,Homo sapiens,Q9NZE8
,Homo sapiens,Q9P0J6
,Homo sapiens,Q9BZE1
,Homo sapiens,Q96DV4
,Homo sapiens,Q9NYK5
,Homo sapiens,Q9NQ50
,Homo sapiens,Q96CB9
,Homo sapiens,1485738021
,Homo sapiens,Q7Z6M4
,Homo sapiens,Q9BT17
,Homo sapiens,Q5T653
,Homo sapiens,P09001
,Homo sapiens,Q9BYD3
,Homo sapiens,P52815
,Homo sapiens,Q9H4K7
,Homo sapiens,Q9BYD2
,Homo sapiens,Q7Z7H8
,Homo sapiens,Q9BYD1
,Homo sapiens,Q6P1L8
,Homo sapiens,Q9P015
,Homo sapiens,Q9NX20
,Homo sapiens,P49406
,Homo sapiens,Q7Z2W9
,Homo sapiens,E7ESL0
,Homo sapiens,Q16540
,Homo sapiens,Q96A35
,Homo sapiens,Q9P0M9
,Homo sapiens,Q13084
,Homo sapiens,Q8TCC3
,Homo sapiens,Q9H9J2
,Homo sapiens,Q9H2W6
,Homo sapiens,Q96GC5
,Homo sapiens,Q13405
,Homo sapiens,Q8N5N7
,Homo sapiens,Q4U2R6
,Homo sapiens,Q86TS9
,Homo sapiens,Q96EL3
,Homo sapiens,Q7Z7F7
,Homo sapiens,Q9UI43
,Homo sapiens,Q14197
,Homo sapiens,Q8TAE8
,Homo sapiens,Q9NP92
,Homo sapiens,P49411
,Homo sapiens,Q96EH3
,Homo sapiens,
,Homo sapiens,Q9BYC8
,Homo sapiens,Q8IXM3
,Homo sapiens,
,Homo sapiens,Q9Y6G3
,Homo sapiens,Q9Y3B7
,Homo sapiens,Q9NRX2
,Homo sapiens,A8K9D2
,Homo sapiens,Q9BYC9
,Homo sapiens,Q9HD33
,Homo sapiens,Q8N983
,Homo sapiens,Q9BRJ2
,Homo sapiens,Q6P161
,Homo sapiens,Q9BQC6
,Homo sapiens,Q9NVS2
,Homo sapiens,L0R8F8
,Homo sapiens,O14561
7O9M,Homo sapiens,
,Homo sapiens,1485738021
,Homo sapiens,Q9BT17
,Homo sapiens,Q5T653
,Homo sapiens,Q9BYD3
,Homo sapiens,Q9BYD2
,Homo sapiens,Q7Z7H8
,Homo sapiens,Q9Y3B7
,Homo sapiens,Q9BYD1
,Homo sapiens,Q6P1L8
,Homo sapiens,Q9NX20
,Homo sapiens,Q9NRX2
,Homo sapiens,A8K9D2
,Homo sapiens,P49406
,Homo sapiens,Q7Z2W9
,Homo sapiens,E7ESL0
,Homo sapiens,Q96A35
